goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillListQueue/0-4         	26576101	        49.53 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListQueue/0-4         	27057654	        54.55 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListQueue/0-4         	25783304	        47.10 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListQueue/0-4         	27178083	        41.57 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListQueue/0-4         	27356775	        41.57 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListQueue/0-4         	26955051	        41.62 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListQueue/0-4         	27915094	        41.37 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListQueue/0-4         	27278594	        41.40 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListQueue/0-4         	27995184	        41.71 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListQueue/0-4         	27048088	        41.99 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListQueue/1-4         	10598056	       112.0 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListQueue/1-4         	10558626	       111.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListQueue/1-4         	10644404	       111.8 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListQueue/1-4         	10616720	       112.4 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListQueue/1-4         	10606904	       111.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListQueue/1-4         	10615441	       111.4 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListQueue/1-4         	10637961	       112.0 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListQueue/1-4         	10536290	       112.0 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListQueue/1-4         	10627459	       111.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListQueue/1-4         	10679719	       111.5 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListQueue/10-4        	 1619811	       782.3 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListQueue/10-4        	 1601163	       735.8 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListQueue/10-4        	 1591969	       736.3 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListQueue/10-4        	 1611481	       736.2 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListQueue/10-4        	 1617240	       734.9 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListQueue/10-4        	 1586853	       737.0 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListQueue/10-4        	 1605694	       738.3 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListQueue/10-4        	 1609656	       734.6 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListQueue/10-4        	 1616053	       750.1 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListQueue/10-4        	 1616059	       735.5 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListQueue/100-4       	  168927	      6934 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListQueue/100-4       	  166111	      6930 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListQueue/100-4       	  169878	      6934 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListQueue/100-4       	  168434	      6947 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListQueue/100-4       	  168075	      6934 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListQueue/100-4       	  170557	      6933 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListQueue/100-4       	  168573	      6930 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListQueue/100-4       	  165598	      6927 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListQueue/100-4       	  167650	      6946 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListQueue/100-4       	  146252	      6944 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListQueue/1000-4      	   17349	     68565 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListQueue/1000-4      	   17338	     68377 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListQueue/1000-4      	   17110	     68438 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListQueue/1000-4      	   17001	     68288 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListQueue/1000-4      	   17253	     68764 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListQueue/1000-4      	   17420	     68308 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListQueue/1000-4      	   17499	     68238 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListQueue/1000-4      	   17382	     68175 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListQueue/1000-4      	   17184	     69569 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListQueue/1000-4      	   17456	     68236 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListQueue/10000-4     	    1688	    698946 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListQueue/10000-4     	    1700	    719378 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListQueue/10000-4     	    1666	    702801 ns/op	  640051 B/op	   20001 allocs/op
BenchmarkFillListQueue/10000-4     	    1670	    691027 ns/op	  640049 B/op	   20001 allocs/op
BenchmarkFillListQueue/10000-4     	    1695	    692850 ns/op	  640049 B/op	   20001 allocs/op
BenchmarkFillListQueue/10000-4     	    1711	    690019 ns/op	  640051 B/op	   20001 allocs/op
BenchmarkFillListQueue/10000-4     	    1678	    688434 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListQueue/10000-4     	    1700	    693391 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListQueue/10000-4     	    1714	    770004 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListQueue/10000-4     	    1615	    718703 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListQueue/100000-4    	      85	  14763551 ns/op	 6400054 B/op	  200001 allocs/op
BenchmarkFillListQueue/100000-4    	     100	  14558817 ns/op	 6400052 B/op	  200001 allocs/op
BenchmarkFillListQueue/100000-4    	     100	  14856138 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListQueue/100000-4    	     100	  13892530 ns/op	 6400049 B/op	  200001 allocs/op
BenchmarkFillListQueue/100000-4    	     100	  14523969 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListQueue/100000-4    	     100	  14808160 ns/op	 6400050 B/op	  200001 allocs/op
BenchmarkFillListQueue/100000-4    	     100	  13737917 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListQueue/100000-4    	     100	  14785848 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListQueue/100000-4    	     100	  14193977 ns/op	 6400049 B/op	  200001 allocs/op
BenchmarkFillListQueue/100000-4    	     100	  14020141 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListQueue/1000000-4   	       9	 133961667 ns/op	64000080 B/op	 2000001 allocs/op
BenchmarkFillListQueue/1000000-4   	       9	 127646702 ns/op	64000058 B/op	 2000001 allocs/op
BenchmarkFillListQueue/1000000-4   	       9	 113198825 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListQueue/1000000-4   	       9	 121369725 ns/op	64000069 B/op	 2000001 allocs/op
BenchmarkFillListQueue/1000000-4   	       8	 131483490 ns/op	64000084 B/op	 2000001 allocs/op
BenchmarkFillListQueue/1000000-4   	       7	 146587945 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListQueue/1000000-4   	      10	 137221606 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListQueue/1000000-4   	       8	 126448982 ns/op	64000072 B/op	 2000001 allocs/op
BenchmarkFillListQueue/1000000-4   	       9	 122151193 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListQueue/1000000-4   	       9	 123868586 ns/op	64000080 B/op	 2000001 allocs/op
BenchmarkFillListStack/0-4         	25875535	        41.43 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	28228969	        41.18 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	28161147	        41.11 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	28147998	        41.07 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	27456336	        41.18 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	28219952	        41.77 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	28186122	        41.05 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	28261204	        41.06 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	28023243	        41.09 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	28105674	        41.26 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/1-4         	10514774	       112.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	10471254	       112.9 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	10488339	       112.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	10555716	       111.9 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	10613326	       112.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	10584408	       112.9 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	10622414	       119.0 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	 9672801	       114.8 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	10227909	       113.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	10549996	       113.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/10-4        	 1595935	       756.0 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 1595877	       740.8 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 1605484	       742.1 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 1589629	       737.7 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 1608589	       743.5 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 1610492	       749.7 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 1605487	       742.8 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 1607348	       741.1 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 1593644	       740.1 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 1605770	       743.6 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/100-4       	  164649	      6986 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  167730	      6982 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  167116	      7023 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  166389	      7025 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  166473	      7004 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  159976	      6987 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  168080	      6970 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  169528	      6973 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  166000	      6977 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  168220	      6971 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/1000-4      	   17276	     68766 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   17095	     68624 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   17156	     68981 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   17368	     68729 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   17310	     69721 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   17293	     68960 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   17118	     68845 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   17056	     69192 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   17368	     68657 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   17354	     68844 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/10000-4     	    1686	    699197 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    1684	    693471 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    1694	    695083 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    1690	    708749 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    1623	    692947 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    1664	    695862 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    1687	    690245 ns/op	  640049 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    1701	    692963 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    1700	    691728 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    1688	    695863 ns/op	  640050 B/op	   20001 allocs/op
BenchmarkFillListStack/100000-4    	      84	  14135373 ns/op	 6400053 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  13463627 ns/op	 6400051 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  14880145 ns/op	 6400049 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  13723040 ns/op	 6400049 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  13283612 ns/op	 6400053 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  14491199 ns/op	 6400055 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  14492588 ns/op	 6400049 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  14500995 ns/op	 6400049 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  14013214 ns/op	 6400056 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  15027469 ns/op	 6400059 B/op	  200001 allocs/op
BenchmarkFillListStack/1000000-4   	       9	 124496534 ns/op	64000058 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	       9	 120676462 ns/op	64000080 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	      10	 109055547 ns/op	64000067 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	       9	 119847718 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	       9	 112714204 ns/op	64000058 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	       9	 119205916 ns/op	64000058 B/op	 2000001 allocs/op
